split_id,train_start,train_end,valid_start,valid_end,test_start,test_end,n_train,n_valid,n_test
32,2016-08-31 00:00:00,2019-07-31 00:00:00,2019-08-31 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,3024,1008,84
33,2016-09-30 00:00:00,2019-08-31 00:00:00,2019-09-30 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-09-30 00:00:00,3024,1008,84
34,2016-10-31 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-10-31 00:00:00,3024,1008,84
35,2016-11-30 00:00:00,2019-10-31 00:00:00,2019-11-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-11-30 00:00:00,3024,1008,84
36,2016-12-31 00:00:00,2019-11-30 00:00:00,2019-12-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2020-12-31 00:00:00,3024,1008,84
37,2017-01-31 00:00:00,2019-12-31 00:00:00,2020-01-31 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-01-31 00:00:00,3024,1008,84
38,2017-02-28 00:00:00,2020-01-31 00:00:00,2020-02-29 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-02-28 00:00:00,3024,1008,84
39,2017-03-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-03-31 00:00:00,3024,1008,84
40,2017-04-30 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-04-30 00:00:00,3024,1008,84
41,2017-05-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-05-31 00:00:00,3024,1008,84
42,2017-06-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-06-30 00:00:00,3024,1008,84
43,2017-07-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-07-31 00:00:00,3024,1008,84
44,2017-08-31 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-08-31 00:00:00,3024,1008,84
45,2017-09-30 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-09-30 00:00:00,3024,1008,84
46,2017-10-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-10-31 00:00:00,3024,1008,84
47,2017-11-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-11-30 00:00:00,3024,1008,84
